,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
16,뮤지컬 〈시카고〉 - 대구,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",대구시,대구오페라하우스,2021.12.17 ~ 2021.12.26,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009863
17,뮤지컬 〈팬레터〉,뮤지컬,145분(인터미션:15분),14세 이상 관람가,"김경수, 윤나무, 백형훈, 려욱, 문성일, 박준휘, 김진욱, 소정화, 강혜인, 허혜진, 박정표, 이형훈, 김지철, 윤석현, 임별, 이승현, 장민수, 김태인, 김보현, 송상훈",서울,코엑스아티움,2021.12.10 ~ 2022.03.20,판매중단독판매TOPING회원할인 10%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010169
18,뮤지컬 〈헤드윅〉 - 대구,뮤지컬,135분,만 15세이상,"오만석, 고은성, 렌, 김려원, 제이민",대구시,계명아트센터,2022.01.14 ~ 2022.01.16,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011414
19,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 대구,뮤지컬,150분(인터미션:20분),8세이상 관람가능,,대구시,계명아트센터,2021.12.10 ~ 2021.12.26,판매중좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008971
20,뮤지컬 〈프랑켄슈타인〉,뮤지컬,175분(인터미션:20분),만 13세이상,"김지온, 박정원, 김준영, 최석진, 유현석, 현석준, 김대현, 최호승, 손지환",서울,대학로 자유극장,2021.11.24 ~ 2022.02.20,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009213
21,뮤지컬 〈시카고〉 - 김해,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",경남,김해문화의전당 마루홀,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011501
22,뮤지컬 〈곤 투모로우〉,뮤지컬,150분(인터미션:20분),8세이상 관람가능,"강필석, 최재웅, 송원근, 노윤, 김재범, 신성민, 이해준, 윤소호, 고영빈, 박영수, 김준수, 김태한, 신재희, 한동훈",서울,홍익대 대학로 아트센터 대극장,2021.12.04 ~ 2022.02.27,판매중단독판매TOPING 할인,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009896
23,뮤지컬 〈더 라스트맨〉,뮤지컬,100분,만 13세이상,"정민, 정동화, 주민진, 김려원",서울,대학로 아트원씨어터 1관,2021.11.30 ~ 2022.02.13,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011425
24,［수원］번개맨 뮤지컬 : 검은 번개맨의 정체는？,뮤지컬,65분,24개월이상 관람가능,,경기,경기아트센터 대극장,2021.12.23 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010985
25,뮤지컬 〈장수탕 선녀님〉 - 울산,뮤지컬,60분,12개월이상 관람가능,,울산시,울산문화예술회관 대공연장,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011304
26,뮤지컬〈헤드윅〉 - 성남,뮤지컬,135분,만 15세이상,"오만석, 고은성, 렌, 이영미, 김려원, 제이민",경기,성남아트센터 오페라하우스,2022.01.22 ~ 2022.01.23,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011931
27,가족뮤지컬 ‘세계문명탐험대-태양의나라이집트’,뮤지컬,75분,24개월이상 관람가능,,서울,나루아트센터 대극장,2021.12.11 ~ 2022.01.23,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010455
28,뮤지컬 멸화군,뮤지컬,100분,8세이상 관람가능,"이경수, 박민성, 정원영, 황민수, 최재웅, 황순종, 최은실, 지새롬, 임예진, 이동희, 임종우, 이종원, 김민성",서울,대학로 TOM(티오엠) 1관,2021.10.05 ~ 2022.01.02,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007516
29,뮤지컬 〈썸씽로튼〉 (Musical Something Rotten!),뮤지컬,160분(인터미션:20분),8세이상 관람가능,"강필석, 이충주, 양요섭, 서경수, 윤지성, 임규형, 황순종, 이영미, 안유진, 이채민, 이지수, 이아진, 장민제, 남경주, 정원영, 육현욱, 이한밀",서울,유니버설아트센터,2021.12.23 ~ 2022.04.10,판매중TOPING회원할인 20%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011476
30,시크릿쥬쥬 별의여신 뮤지컬 시즌2 - 수원앵콜,뮤지컬,65분,24개월이상 관람가능,,경기,수원SK아트리움 대공연장,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011654
31,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 안산,뮤지컬,65분,24개월이상 관람가능,,경기,안산문화예술의전당 해돋이극장,2021.12.11 ~ 2021.12.12,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008247
32,뮤지컬 〈빨래〉－대전,뮤지컬,160분(인터미션:15분),14세 이상 관람가,"장혜민, 이진혁, 강정임, 김지혜, 장격수, 정평, 박정민, 김유정",대전시,대전 평송청소년문화센터 대극장,2021.12.24 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011691
33,［2021］판타지가족뮤지컬 “겨울이야기” 시즌2 - 목포,뮤지컬,60분,24개월이상 관람가능,,전남,목포시민문화체육센터 소공연장,2021.12.19 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011846
34,뮤지컬 〈미인〉,뮤지컬,90분,8세이상 관람가능,"박영수, 조성윤, 현석준, 최민우, 윤은오, 제이민, 여은, 장민제, 최호승, 조현우, 김윤하, 백예은",서울,예스24스테이지 1관,2021.09.15 ~ 2021.12.05,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21006800
35,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 대구,뮤지컬,60분,전체관람가,,대구시,영남대학교 천마아트센터 챔버홀,2022.01.01 ~ 2022.01.02,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011757
36,2021 The 뮤지컬 스타 - 천안,콘서트,100분,초등학생이상 관람가,,충남,천안예술의전당 대공연장,2021.12.17 ~ 2021.12.17,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011276
37,뮤지컬 〈장수탕 선녀님〉 - 부산,뮤지컬,60분,12개월이상 관람가능,,부산시,부산 MBC 드림홀,2021.12.18 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010767
38,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 창원,뮤지컬,65분,24개월이상 관람가능,,경남,KBS 창원홀,2021.12.18 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010081
39,2021 가족뮤지컬 〈호두까기인형〉 - 용인,뮤지컬,55분,전체관람가,,경기,용인시문예회관 처인홀,2021.12.04 ~ 2021.12.04,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008388
40,뮤지컬〈엔딩 노트〉,뮤지컬,55분,24개월이상 관람가능,,서울,구미강동문화복지회관,2021.11.09 ~ 2022.01.30,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011682
41,(2021 용인) 뮤지컬 루돌프와 산타클로스,뮤지컬,60분,24개월이상 관람가능,,경기,용인시 평생학습관 큰어울마당,2021.12.25 ~ 2021.12.26,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011593
