,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
1249,뮤지컬〈오늘을 기억해〉-익산,뮤지컬,100분,8세이상 관람가능,"한현민, 이재형, 최수연, 정진욱, 방보용, 박시원, 전보영",전북,익산 솜리문화예술회관 중공연장,2020.11.21 ~ 2020.11.21,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007640
1250,뮤지컬 〈젠틀맨스가이드：사랑과 살인편〉,뮤지컬,150분(인터미션:15분),중학생이상 관람가,"김동완, 박은태, 이상이, 오만석, 정상훈, 이규형, 최재림, 임혜영, 김지우, 김아선, 선우, 장예원, 지원선, 고철순",서울,홍익대 대학로 아트센터 대극장,2020.11.20 ~ 2021.03.01,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008141
1251,뮤지컬 〈흔해빠진 일〉,뮤지컬,150분(인터미션:15분),만 14세이상,,서울,씨어터 쿰,2020.11.20 ~ 2020.12.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008921
1252,뮤지컬 〈호프 : 읽히지 않은 책과 읽히지 않은 인생〉,뮤지컬,110분,중학생이상 관람가,"김선영, 김지현, 김경수, 고훈정, 조형균, 최은실, 김려원, 최서연, 이예은, 이윤하, 지혜근, 김순택, 진태화, 이승헌, 임하람, 박좌헌, 반정모, 조민호",서울,두산아트센터 연강홀,2020.11.19 ~ 2021.02.21,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007619
1253,어린이뮤지컬 “크리스마스캐롤” - 인천 부평,뮤지컬,55분(인터미션:5분),전체관람가,,인천시,인천 레미어린이극장,2020.11.18 ~ 2021.01.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20010125
1254,어린이 뮤지컬 ‘렛잇고2’ - 금나래,뮤지컬,60분,24개월이상 관람가능,,서울,금나래아트홀(금천구청내),2020.11.18 ~ 2020.11.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006651
1255,뮤지컬 〈몬테크리스토〉 10주년 기념공연,뮤지컬,160분(인터미션:20분),8세이상 관람가능,"엄기준, 카이, 신성록, 옥주현, 린아, 이지혜, 최민철, 김준현, 강태을, 이종문, 문성혁, 최성원, 임별, 이상준, 이한밀, 김영주, 전수미, 박준휘, 신재범, 윤조",서울,LG아트센터,2020.11.17 ~ 2021.03.28,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007937
1256,뮤지컬 날개잃은 천사,뮤지컬,90분,만 10세이상,,서울,북촌아트홀,2020.11.16 ~ 2020.12.29,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009138
1257,(청주)2020 가족뮤지컬 “프린세스 공주뮤지컬쇼”,뮤지컬,60분,24개월이상 관람가능,,충북,청주예술의전당 대공연장,2020.11.15 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008488
1258,2020 가족뮤지컬 〈엘사의 겨울이야기〉 - 부산,뮤지컬,50분,전체관람가,,부산시,부산북구문화빙상센터 (공연장),2020.11.15 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005025
1259,어린이뮤지컬 ‘렛잇고2’ - 익산,뮤지컬,65분,24개월이상 관람가능,,전북,익산예술의전당 대공연장,2020.11.15 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007892
1260,2020년 뮤지컬 “겨울이야기” - 여수,뮤지컬,55분,24개월이상 관람가능,,전남,홍천문화원,2020.11.15 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008508
1261,2020년 특선가족뮤지컬 “겨울이야기” - 홍천,뮤지컬,55분,24개월이상 관람가능,,강원,홍천문화원,2020.11.15 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004208
1262,가족 어린이 뮤지컬 〈성냥팔이 소녀〉,뮤지컬,50분,24개월이상 관람가능,,서울,대학로 명작극장,2020.11.14 ~ 2020.12.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009566
1263,뮤지컬 〈광주〉 - 고양,뮤지컬,160분(인터미션:15분),중학생이상 관람가,"민우혁, 테이, 서은광, 민영기, 김찬호, 장은아, 정인지, 유지, 이봄소리(김다혜), 이정열, 박시원, 서현철, 이동준, 김대곤, 주민진, 김아영, 김국희, 김태문, 문성일, 이봉준",경기,고양어울림누리 어울림극장,2020.11.14 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008352
1264,가족뮤지컬 〈로봇똥〉 - 부천,뮤지컬,50분,24개월이상 관람가능,,경기,복사골문화센터 판타지아극장,2020.11.14 ~ 2020.11.15,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008733
1265,뮤지컬 〈빨래〉 - 강동,뮤지컬,160분(인터미션:15분),14세 이상 관람가,"신고은, 강기헌, 최정화, 양미경, 윤성원, 안두호, 조훈, 김유정",서울,강동아트센터 대극장 한강,2020.11.14 ~ 2020.11.14,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007786
1266,팝페라 ＆ 뮤지컬 그랜드 콘서트 - 화성,뮤지컬,90분,초등학생이상 관람가,"루이스초이, 소냐",경기,반석아트홀,2020.11.14 ~ 2020.11.14,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009111
1267,가족 어린이 뮤지컬 〈신데렐라〉,뮤지컬,60분,24개월이상 관람가능,,서울,금나래아트홀(금천구청내),2020.11.14 ~ 2020.11.14,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008509
1268,가족뮤지컬 〈엘사의 겨울이야기-구미〉,뮤지컬,50분,24개월이상 관람가능,,경북,강동문화복지회관 천생아트홀,2020.11.14 ~ 2020.11.14,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005131
1269,어린이뮤지컬 ‘렛잇고2’ - 군산,뮤지컬,60분,24개월이상 관람가능,,전북,군산예술의전당 소공연장,2020.11.14 ~ 2020.11.14,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006442
1270,판타지 가족뮤지컬 “겨울이야기” 시즌2 - 천안,뮤지컬,60분,24개월이상 관람가능,,충남,성환문화회관 대공연장,2020.11.14 ~ 2020.11.14,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008489
1271,2020년 특선가족뮤지컬 “백설공주” - 예산,뮤지컬,55분,24개월이상 관람가능,,충남,충남도청 문예회관(내포신도시),2020.11.14 ~ 2020.11.14,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006704
1272,뮤지컬 〈그날들〉,뮤지컬,165분(인터미션:20분),8세이상 관람가능,"유준상, 이건명, 정성화, 민우혁, 온주완, 조형균, 양요섭, 김인성, 루나, 방민아, 효은, 서현철, 이정열, 고창석, 최지호, 김산호, 박정표, 김호창, 임진아, 김보정",서울,충무아트센터 대극장,2020.11.13 ~ 2021.03.07,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007956
1273,［후회하지 않을 뮤지컬］ 소믈리에,뮤지컬,120분,만 7세이상,,서울,대학로 고스트씨어터,2020.11.13 ~ 2020.11.29,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007422
1274,뮤지컬 〈알사탕〉 - 대전,뮤지컬,60분,24개월이상 관람가능,,대전시,대전시립연정국악원 큰마당,2020.11.13 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006725
1275,"2021 정동극장 HELLO, JEONGDONG〈뮤지컬 패키지〉",뮤지컬,,만 13세이상,,서울,해당공연 공연장－서울,2020.11.12 ~ 2020.11.30,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009461
1276,뮤지컬 〈에어포트 베이비〉,뮤지컬,105분,만 7세이상,"최재림, 조상웅, 강윤석, 김용수, 박칼린, 신성수, 황성현, 정재환, 지승태, 김수정, 이빛나, 홍성무, 정윤서",서울,신한카드 FAN(판)스퀘어 라이브홀,2020.11.11 ~ 2021.01.31,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008407
1277,부평아트센터 창작뮤지컬 〈헛스윙밴드〉 - 인천,뮤지컬,100분,만 7세이상,,인천시,부평아트센터 해누리 극장,2020.11.11 ~ 2020.11.21,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008005
1278,배리어프리 뮤지컬,연극,150분(인터미션:20분),만 15세이상,,서울,세종문화회관 M씨어터,2020.11.11 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=P0002328
1279,클래식이 있는 뮤지컬 〈이원복의 먼나라 이웃나라 영국여행〉,뮤지컬,70분,만 5세이상,,서울,광림아트센터 장천홀,2020.11.11 ~ 2020.11.11,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008910
1280,2020년 뮤지컬 “겨울이야기” - 홍천,뮤지컬,47분,36개월이상 관람가능,,충남,천안예술의전당 소공연장,2020.11.11 ~ 2020.11.11,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008481
1281,뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),뮤지컬,150분(인터미션:20분),8세이상 관람가능,"안젤로 델 베키오, 조제 뒤푸르, 엘하이다 다니, 로미나 팔메리, 리샤르 샤레스트, 존 아이젠, 다니엘 라부아, 로베르 마리앙, 제이, 이삭 엔지, 지안마르코 스키아레띠, 알리제 라랑드, 샤를로트 비작크",서울,블루스퀘어 인터파크홀,2020.11.10 ~ 2021.01.03,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20010952
1282,Good Bye! 뮤지컬 〈캣츠〉-서울 (비지정석),뮤지컬,160분(인터미션:20분),8세이상 관람가능,,서울,샤롯데씨어터,2020.11.10 ~ 2020.12.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009545
1283,뮤지컬 문준경 시즌5,뮤지컬,120분,만 5세이상,"엄태리, 송효진, 김경택, 김동환, 남해현, 신민희, 김원철, 황병일",서울,정동세실극장,2020.11.10 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009013
1284,뉴 뮤지컬 프리프로덕션과정 쇼케이스 〈THE NEXT STAGE〉,뮤지컬,60분,만 15세이상,,서울,대학로 자유극장,2020.11.10 ~ 2020.11.13,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009149
1285,2020 가족뮤지컬 〈알라딘〉 - 광주,뮤지컬,50분,전체관람가,,광주시,광주서구문화센터 2층 공연장,2020.11.08 ~ 2020.11.08,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004990
1286,［창원］어린이뮤지컬 토끼와 자라,뮤지컬,50분,전체관람가,,경남,창원과학체험관 다목적강당,2020.11.07 ~ 2021.01.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008347
1287,어린이뮤지컬 “빨간모자” - 서울금천,뮤지컬,55분(인터미션:5분),전체관람가,,서울,"빅마켓(구,롯데마트 금천점)3층 레미어린이극장",2020.11.07 ~ 2020.12.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009215
1288,〈2020 대구〉 가족뮤지컬 “엘사의 겨울이야기”,뮤지컬,50분,전체관람가,,대구시,대구어린이회관 꾀꼬리극장,2020.11.07 ~ 2020.11.08,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005707
1289,어린이뮤지컬 ‘렛잇고2’ - 원주,뮤지컬,60분,24개월이상 관람가능,,강원,원주 백운아트홀,2020.11.07 ~ 2020.11.08,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006457
1290,옥주현 ＆ 민우혁의 뮤지컬 콘서트 〈퍼스트 클래스〉 - 군포,콘서트,100분,8세이상 관람가능,"옥주현, 민우혁",경기,군포문화예술회관 수리홀,2020.11.07 ~ 2020.11.07,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008076
1291,2020 가족뮤지컬 〈라푼젤〉 - 인천,뮤지컬,50분,전체관람가,,인천시,부평아트센터 달누리 극장,2020.11.07 ~ 2020.11.07,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004976
1292,2020년 특선가족뮤지컬 “백설공주” - 안동,뮤지컬,55분,24개월이상 관람가능,,경북,안동시민회관 대공연장,2020.11.07 ~ 2020.11.07,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008507
1293,판타지 가족뮤지컬 “겨울이야기” 시즌2 - 홍성,뮤지컬,60분,24개월이상 관람가능,,충남,홍주문화회관 대공연장,2020.11.07 ~ 2020.11.07,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008487
1294,전율하게될 감동의 뮤지컬 〈파탈리떼〉 - 부산,뮤지컬,125분(인터미션:10분),미취학아동입장불가,박종찬,부산시,레몬트리소극장,2020.11.06 ~ 2020.11.08,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008197
1295,"뮤지컬 〈세종,1446〉 - 부천",뮤지컬,170분(인터미션:20분),만 7세이상,"정상윤, 박유덕, 남경주, 김주호, 박소연, 김지유, 이준혁, 장지후, 박정원, 황민수",경기,부천 시민회관 대공연장,2020.11.06 ~ 2020.11.07,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008382
1296,뮤지컬 빨래 - 오산,뮤지컬,160분(인터미션:15분),만 7세이상,,경기,오산문화예술회관 대공연장,2020.11.06 ~ 2020.11.07,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008384
1297,프리미엄 뮤지컬 갈라 콘서트 〈뮤직 오브 더 나잇〉,클래식/오페라,70분,만 7세이상,"정선아, 이건명, 백윤학",서울,소셜베뉴 라움,2020.11.06 ~ 2020.11.06,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004600
1298,2020웰컴씨어터- ‘뮤지컬 〈얼쑤〉’,뮤지컬,110분,만 7세이상,이설(이민지),서울,대학로 유니플렉스 1관,2020.11.05 ~ 2020.11.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006438
1299,뮤지컬〈코스프레 파파〉 - 안산,뮤지컬,120분,8세이상 관람가능,"임진웅, 홍기주, 김소정, 전수창, 김수빈, 이유진",경기,안산문화예술의전당 달맞이극장,2020.11.05 ~ 2020.11.07,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007757
1300,동화뮤지컬 〈페페의 꿈〉 - 천안,뮤지컬,120분(인터미션:20분),초등학생이상 관람가,,충남,경기아트센터 대극장,2020.11.04 ~ 2020.11.14,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19018765
1301,뮤지컬 〈나와 나타샤와 흰 당나귀〉,뮤지컬,100분,만 7세이상,"강필석, 오종혁, 송원근, 정운선, 전성민, 이하나, 윤석현, 장민수",서울,충무아트센터 중극장 블랙,2020.11.03 ~ 2021.02.14,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007595
1302,뮤지컬 〈배니싱〉,뮤지컬,110분,만 13세이상,"김종구, 이주광, 주민진, 에녹, 정민, 박규원, 유승현, 배나라, 조훈",서울,대학로 아트원씨어터 1관,2020.11.01 ~ 2021.02.21,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007979
1303,뮤지컬 〈전설의 리틀 농구단〉［라이브 스트리밍 관람권 / 라이브 스트리밍 관람권+VOD 관람권］,뮤지컬,100분,만 12세이상,"유승현, 김승용, 임진섭, 구준모, 곽다인, 김찬",,,2020.11.01 ~ 2020.11.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007796
1304,뮤지컬 〈전설의 리틀 농구단〉［라이브 스트리밍 관람권+서포터즈 GIFT BOX］,뮤지컬,100분,만 12세이상,"유승현, 김승용, 임진섭, 구준모, 곽다인, 김찬",,,2020.11.01 ~ 2020.11.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007798
1305,〈가족라이브 뮤지컬-겨울왕국〉겨울이야기-대구,뮤지컬,60분,24개월이상 관람가능,,대구시,대구어린이회관 꾀꼬리극장,2020.11.01 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005888
1306,2020 가족뮤지컬 〈엘사의 겨울이야기〉 - 울산,뮤지컬,50분,전체관람가,,울산시,울산북구문화예술회관,2020.11.01 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005087
1307,2020년 특선가족뮤지컬 “겨울이야기” - 익산,뮤지컬,55분,24개월이상 관람가능,,전북,익산 솜리문화예술회관 중공연장,2020.11.01 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005742
1308,명품가족뮤지컬-눈의 여왕(대전),뮤지컬,60분(인터미션:10분),전체관람가,,대전시,골프존조이마루아트홀,2020.10.31 ~ 2020.12.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009053
1309,뮤지컬 〈시데레우스〉,뮤지컬,100분,8세이상 관람가능,"박민성, 임병근, 이창용, 정욱진, 기세중, 정휘, 임찬민, 홍지희",서울,예스24스테이지 1관,2020.10.31 ~ 2020.11.29,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007985
1310,가족뮤지컬 〈알라딘-부산〉,뮤지컬,50분,24개월이상 관람가능,,부산시,부산북구문화빙상센터 (공연장),2020.10.31 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005091
1311,어린이뮤지컬 ‘렛잇고2’ - 광주,뮤지컬,60분,24개월이상 관람가능,,광주시,광주5.18기념문화센터 민주홀,2020.10.31 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005930
1312,뮤지컬 ［39THIRTY NINE］ - 대전,뮤지컬,140분,미취학아동입장불가,,대전시,대전시립연정국악원 큰마당,2020.10.31 ~ 2020.10.31,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007787
1313,2020 어린이 뮤지컬 〈엘사의 겨울이야기〉 - 창원,뮤지컬,50분,전체관람가,,경남,창원 늘푸른전당 2층 공연장,2020.10.31 ~ 2020.10.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004166
1314,홀로그램 융합 뮤지컬 - 토리깨비,뮤지컬,50분,36개월이상 관람가능,,서울,롤리팝 아트홀,2020.10.30 ~ 2021.01.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009221
1315,〈신비아파트 뮤지컬 시즌3: 뱀파이어왕의 비밀〉 할로윈 파티 패키지,뮤지컬,70분,24개월이상 관람가능,,서울,해당없음,2020.10.30 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008057
1316,〈신비아파트 뮤지컬 시즌3: 뱀파이어왕의 비밀〉 온택트 관람권,뮤지컬,70분,24개월이상 관람가능,,서울,해당없음,2020.10.30 ~ 2020.11.01,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008058
1317,제14회 DIMF 공식초청작 뮤지컬 ‘You ＆ It’,뮤지컬,100분,미취학아동입장불가,,대구시,문화예술전용극장 CT,2020.10.30 ~ 2020.10.31,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007983
1318,제14회 DIMF 창작지원작 뮤지컬 ‘무도회장 폭탄사건 (Musical Bomb explosion at banque)’,뮤지컬,110분,미취학아동입장불가,"강연정, 문지수, 한수림, 김방언, 최성혜, 박세웅, 소규섭, 김나연",대구시,어울아트센터,2020.10.30 ~ 2020.10.31,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007997
1319,가족뮤지컬 “피터팬과 후크선장” - 울산,뮤지컬,55분(인터미션:5분),전체관람가,,울산시,지니＆레미 어린이극장,2020.10.29 ~ 2021.01.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20009055
1320,2020 경기도립국악단 시나위오케스트라 레퍼토리 시즌 - 뮤지컬 〈들리지 않는 소리〉 - 수원,뮤지컬,100분,만 15세이상,"김도빈, 박민성, 이율, 임준혁, 이해준, 노윤, 임찬민, 강혜인, 이지수, 박정원, 최석진, 오승훈, 신주협, 임강희, 홍륜희",경기,대학로 TOM(티오엠) 1관,2020.10.27 ~ 2021.01.24,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007700
1321,뮤지컬 ［어쩌면 해피엔딩］ LIVE,뮤지컬,110분,전체관람가,"전성우, 양희준, 강혜인, 한재아, 성종완, 이선근",,,2020.10.26 ~ 2020.11.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008094
1322,뮤지컬 ［어쩌면 해피엔딩］ LIVE MD 패키지,뮤지컬,110분,전체관람가,,,,2020.10.26 ~ 2020.11.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008095
1323,(청주) 뮤지컬 “겨울이야기”,뮤지컬,60분,24개월이상 관람가능,,충북,청주예술의전당 대공연장,2020.10.25 ~ 2020.10.25,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008060
1324,2020년 특선가족뮤지컬 “겨울이야기” - 안동,뮤지컬,55분,24개월이상 관람가능,,경북,안동시민회관 소공연장,2020.10.24 ~ 2020.10.24,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20003850
1325,2020년 특선겨울왕국뮤지컬 “겨울이야기” - 안동,뮤지컬,55분,24개월이상 관람가능,,경북,안동시민회관 대공연장,2020.10.24 ~ 2020.10.24,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007498
1326,뮤지컬 〈듀엣〉,뮤지컬,145분(인터미션:15분),만 7세이상,"박건형, 박영수, 문진아, 제이민, 정철호, 차정현, 하유진, 지새롬, 도율희",서울,KT＆G 상상마당 대치아트홀,2020.10.23 ~ 2021.01.31,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007328
1327,어린이뮤지컬 〈무지개랜드〉 1월,뮤지컬,50분,24개월이상 관람가능,,서울,별빛소극장,2020.10.23 ~ 2021.01.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006341
1328,제14회 DIMF 창작지원작 뮤지컬 ‘생텍쥐페리’,뮤지컬,90분,미취학아동입장불가,,대구시,아양아트센터 아양홀,2020.10.23 ~ 2020.10.25,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008028
1329,제14회 DIMF 창작지원작 뮤지컬 ‘프리다 Last Night Show’,뮤지컬,100분,만 13세이상,"신영숙, 전수미, 정영아, 김수연",서울,대덕문화전당,2020.10.23 ~ 2020.10.24,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008148
1330,뮤지컬 〈앨리스 스튜디오〉,뮤지컬,100분,중학생이상 관람가,,서울,구로아트밸리 예술극장,2020.10.23 ~ 2020.10.24,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007702
1331,제14회 DIMF 특별공연 뮤지컬＇이상한 나라의 안이수＇,뮤지컬,60분,48개월이상 관람가능,,대구시,대구 서구문화회관,2020.10.22 ~ 2020.10.26,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008166
1332,뮤지컬〈리틀 뮤지션〉- 여수,뮤지컬,70분,24개월이상 관람가능,,전남,GS칼텍스 예울마루 대극장,2020.10.22 ~ 2020.10.24,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004750
1333,뮤지컬 슈퍼 콘서트 - 대전,클래식/오페라,120분(인터미션:15분),만 7세이상,,대전시,대전예술의전당 아트홀,2020.10.20 ~ 2020.10.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20001644
1334,"(청주,세종) 가족뮤지컬 햇님이달님이",뮤지컬,60분,전체관람가,,충북,소극장 쇠내골,2020.10.19 ~ 2020.12.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008464
1335,가족뮤지컬 신데렐라,뮤지컬,55분,24개월이상 관람가능,,서울,대학로 마당세실극장,2020.10.19 ~ 2020.11.22,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008373
1336,2020웰컴씨어터- ‘뮤지컬 〈아리 아라리〉’,뮤지컬,70분,만 7세이상,"홍성민, 박가영, 김혜인",서울,대학로 유니플렉스 1관,2020.10.18 ~ 2020.10.25,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006494
1337,명작 가족뮤지컬 〈어린왕자의 꿈〉,뮤지컬,50분,24개월이상 관람가능,,서울,마루아트홀,2020.10.17 ~ 2020.12.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007805
1338,뮤지컬 더 북 - 성경이 된 사람들 2020,뮤지컬,125분,만 7세이상,임경민,서울,광야아트센터,2020.10.17 ~ 2020.12.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006507
1339,가족뮤지컬 〈우리 아빠가 최고야-대구〉,뮤지컬,50분,24개월이상 관람가능,,대구시,대구 신세계백화점 8층 문화홀,2020.10.17 ~ 2020.10.18,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20006523
1340,뮤지컬 〈블랙메리포핀스〉,뮤지컬,120분,8세이상 관람가능,"박혜나, 마이클 리",인천시,아트센터 인천 콘서트홀,2020.10.17 ~ 2020.10.17,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20008035
