,Title,Area,Period,URL
33,뮤지컬 〈빨래〉－대전,대전시,2021.12.24 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011691
34,시크릿쥬쥬 별의여신 뮤지컬 시즌2-부평,인천시,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011289
35,뮤지컬 〈엑스칼리버〉 - 대구,대구시,2021.12.04 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010794
36,뮤지컬 〈장수탕 선녀님〉 - 부산,부산시,2021.12.18 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010767
37,(서귀포)2021송년가족뮤지컬 “ 호두까기인형 ”,제주,2021.12.25 ~ 2021.12.25,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011765
38,가족뮤지컬 〈엄마까투리 - 먹구렁이와 생일파티〉 - 진주,경남,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011598
39,시크릿쥬쥬 별의여신 뮤지컬 시즌2 - 수원앵콜,경기,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011654
40,뮤지컬 〈곤 투모로우〉,서울,2021.12.04 ~ 2022.02.27,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009896
41,가족뮤지컬 ‘ 엄마까투리 ’,서울,2021.12.25 ~ 2022.01.30,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010923
42,뮤지컬 〈웨딩플레이어〉,서울,2021.09.28 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007180
43,뮤지컬 〈개와 고양이의 시간〉,서울,2021.09.08 ~ 2021.11.28,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21006977
44,뮤지컬 〈시카고〉 - 김해,경남,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011501
45,뮤지컬 〈헤드윅〉 - 인천,인천시,2021.12.04 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010407
46,뮤지컬 〈시카고〉 - 성남,경기,2021.12.03 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010573
47,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 안산,경기,2021.12.11 ~ 2021.12.12,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008247
48,뮤지컬 〈미인〉,서울,2021.09.15 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21006800
49,뮤지컬 온 스테이지(MUSICAL ON STAGE) - 대전,대전시,2021.12.31 ~ 2021.12.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011463
50,2021겨울판타지뮤지컬 호두까기인형-부천,경기,2021.12.25 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011928
51,창작뮤지컬 〈메이사의 노래〉- 용인,경기,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011005
52,2021 가족뮤지컬 〈스크루지 아저씨의 크리스마스캐롤〉 - 포항,경북,2021.12.11 ~ 2021.12.12,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008376
53,송년특집 가족뮤지컬 “빨간모자” - 울산,울산시,2021.12.02 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012120
54,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 대구,대구시,2022.01.15 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007171
55,가족뮤지컬 ‘세계문명탐험대-태양의나라이집트’,서울,2021.12.11 ~ 2022.01.23,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010455
56,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주,광주시,2021.12.11 ~ 2021.12.12,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008405
57,2021 가족뮤지컬 〈호두까기인형〉 - 용인,경기,2021.12.04 ~ 2021.12.04,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008388
58,뮤지컬 창업,서울,2021.08.27 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21006998
