,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
10,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산,뮤지컬,소향씨어터 신한카드홀(자세히),2021.12.30 ~2022.01.16,8세이상 관람가능,2021.12.30 ~2022.01.16,112,21.4%,78.6%,1.8%,25.3%,35.1%,24.8%,11.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011222,판매예정/판매중
11,뮤지컬 지킬앤하이드 (Jekyll＆Hyde),뮤지컬,샤롯데씨어터(자세히),2021.10.19 ~2022.05.08,14세 이상 관람가,2021.10.19 ~2022.05.08,6089,25.5%,74.5%,5.8%,38.3%,33%,16.5%,5.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007693,판매예정/판매중
12,뮤지컬 〈뱀파이어 아더〉,뮤지컬,충무아트센터 중극장 블랙(자세히),2021.11.09 ~2022.02.06,8세이상 관람가능,2021.11.09 ~2022.02.06,331,6%,94%,5%,44.7%,32.3%,13.7%,2.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008824,판매예정/판매중
13,뮤지컬〈하데스타운〉 최초 한국 공연 (MUSICAL HADESTOWN),뮤지컬,LG아트센터(자세히),2021.09.07 ~2022.02.27,미취학아동입장불가,2021.09.07 ~2022.02.27,5501,11.8%,88.2%,6%,48.3%,28.5%,12.1%,4.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21005196,판매예정/판매중
14,뮤지컬 〈디아길레프〉,뮤지컬,대학로 아트원씨어터 1관(자세히),2022.02.23 ~2022.05.15,14세 이상 관람가,2022.02.23 ~2022.05.15,56,3.2%,96.8%,4.2%,39.3%,41.8%,10.4%,2.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011871,판매예정/판매중
15,뮤지컬 〈빨래〉,뮤지컬,대학로 유니플렉스 2관(자세히),2021.11.05 ~2022.05.29,14세 이상 관람가,2021.11.05 ~2022.05.29,870,26.9%,73.1%,9.4%,46%,26.4%,12.4%,5.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008475,판매예정/판매중
16,뮤지컬 〈팬레터〉,뮤지컬,코엑스아티움(자세히),2021.12.10 ~2022.03.20,14세 이상 관람가,2021.12.10 ~2022.03.20,847,5.1%,94.9%,10.1%,45.6%,30.6%,10.4%,2.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010169,판매예정/판매중
17,뮤지컬 〈헤드윅〉 - 대구,뮤지컬,계명아트센터(자세히),2022.01.14 ~2022.01.16,만 15세이상,2022.01.14 ~2022.01.16,258,6.7%,93.3%,5.3%,35.2%,34.7%,19.3%,4.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011414,판매예정/판매중
18,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 대구,뮤지컬,계명아트센터(자세히),2021.12.10 ~2021.12.26,8세이상 관람가능,2021.12.10 ~2021.12.26,174,25.3%,74.7%,4.4%,27.8%,28.8%,25.4%,11.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008971,판매예정/판매중
19,뮤지컬 〈시카고〉 - 대구,뮤지컬,대구오페라하우스(자세히),2021.12.17 ~2021.12.26,14세 이상 관람가,2021.12.17 ~2021.12.26,269,23.7%,76.3%,7.6%,49%,22.8%,13.5%,6.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009863,판매예정/판매중
20,뮤지컬 〈시카고〉 - 고양,뮤지컬,고양아람누리 아람극장(자세히),2021.12.31 ~2022.01.02,14세 이상 관람가,2021.12.31 ~2022.01.02,44,27.5%,72.5%,9.5%,37%,30.3%,15.4%,5.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011301,판매예정/판매중
